Id,SalePrice
2658,118920.54250315436
2718,155060.69274209783
2414,212023.77028539148
1989,104398.7997747962
625,166653.10789084667
333,97769.91901056386
1327,107782.84005068702
858,149652.48949256202
95,177413.03147052997
1568,161642.7206808674
2482,154602.82486535521
1364,123834.61079684227
2584,137618.95189380532
818,284812.9204544363
2673,121930.70049965878
2089,120521.86126983444
1297,147080.0139340433
790,119431.22386495722
2616,181614.77481329904
720,168980.04174780962
222,149674.13390539866
557,126431.39136625665
1148,186954.215023176
2766,163598.5796932846
534,183249.4450022055
1452,122055.03515434063
630,109391.8494972899
2648,103359.17585049645
125,161817.34192252497
1904,67048.73346032173
1670,106937.37850073924
756,98791.37349261422
717,209097.72601574098
1032,152980.10231968414
852,212684.01655594757
1731,167364.75014502532
2639,104685.04571717377
2071,89629.45589723901
1267,135273.44576521916
1851,190723.2338537075
567,158520.14385978202
2439,209519.88824846296
1898,147292.67044489054
647,155312.06051083238
2256,219539.81397051984
979,88710.92670706287
1444,218837.46541663154
2485,124363.38798159019
157,130413.02440251918
88,117783.04369213534
2003,111378.08260050813
186,198960.46546183655
1425,238104.07478847925
2695,127008.791012286
738,106010.09360995084
395,161326.71160688065
1353,164789.70481045163
1878,131908.25536300353
390,150235.59217044734
1456,234495.40843975332
1103,321212.2602727235
1387,133665.51581363697
2070,136783.07562818355
1199,171169.35222712246
2479,176588.09082166242
501,311430.27482337016
2362,92681.46302454716
1718,176251.50295397305
2188,98771.91126069683
1483,149277.3333914009
2557,95857.78157323237
437,383492.6565819224
2224,197601.7576537255
1628,172049.18101437463
397,139526.01917969566
587,188525.04504123898
971,133250.94949419613
2611,139284.9072125888
1887,107111.0241272342
2399,361834.3787970062
2148,196085.36762943212
304,114884.1766165685
1997,125516.33030572846
2817,114097.23066791218
1431,209335.07438556832
427,294708.6260772632
263,125719.85007469285
598,163223.48670013525
2895,226606.3486000915
687,130524.38544279034
1822,136362.3863295968
2191,102112.35073430164
179,115639.56544517001
1009,203777.03521358242
2010,126286.17272215939
1991,134435.88141180528
1411,188945.33613791835
1721,197532.35589659674
1144,190667.9192829325
593,223778.16610819584
575,340471.0696594591
1249,161429.7411983905
1604,121578.32902629812
1064,598951.8818060656
1923,147906.1569498418
1988,114760.32656960566
2325,170720.29404162706
114,196909.39257533773
